requested_name,canonical_name,category,query_ja,query_en,photo_like_cg_ok
VRゴーグル,vr-headset,03_electronics_space_music,VRヘッドセット,vr headset isolated no people,no
トランシーバー,walkie-talkie,03_electronics_space_music,トランシーバー,walkie talkie isolated no people,no
ロボット,robot,03_electronics_space_music,ロボット,humanoid robot isolated no people,yes
人工衛星,satellite,03_electronics_space_music,人工衛星,satellite in orbit no people,yes
ロケット,rocket,03_electronics_space_music,打ち上げロケット,rocket isolated no people,no
宇宙服,spacesuit,03_electronics_space_music,宇宙服,spacesuit isolated no people,no
望遠鏡,telescope,03_electronics_space_music,天体望遠鏡,astronomical telescope no people,no
シンセサイザー,synthesizer,03_electronics_space_music,シンセサイザー,analog synthesizer isolated no people,no
ケーブル,audio-cable,03_electronics_space_music,オーディオケーブル,audio cable isolated no people,no
MIDIキーボード,midi-keyboard,03_electronics_space_music,MIDIキーボード,midi keyboard controller isolated no people,no
はんだごて,soldering-iron,03_electronics_space_music,はんだごて,soldering iron isolated no people,no
3Dプリンター,3d-printer,03_electronics_space_music,3Dプリンター,3d printer isolated no people,no
ブロック,game-block,04_game_gimmicks_ui,ゲーム ブロック,game block icon no people,yes
トゲ,spike-trap,04_game_gimmicks_ui,ゲーム トゲ,spike trap icon no people,yes
ジャンプ台,jump-pad,04_game_gimmicks_ui,ジャンプ台 ギミック,jump pad icon no people,yes
ポータル,portal,04_game_gimmicks_ui,ポータル,portal gate icon no people,yes
コイン,coin,04_game_gimmicks_ui,ゲーム コイン,game coin icon no people,yes
スター,star,04_game_gimmicks_ui,スター 収集アイテム,collectible star icon no people,yes
鍵,key,04_game_gimmicks_ui,ゲーム 鍵,game key icon no people,yes
宝箱,treasure-chest,04_game_gimmicks_ui,宝箱,treasure chest icon no people,yes
回復のポーション,health-potion,04_game_gimmicks_ui,回復 ポーション,health potion icon no people,yes
毒消し,antidote,04_game_gimmicks_ui,毒消し アイテム,antidote item icon no people,yes
セーブデータ,save-point,04_game_gimmicks_ui,セーブポイント,save point icon no people,yes
ワープゲート,warp-gate,04_game_gimmicks_ui,ワープゲート,warp gate icon no people,yes
隠し通路,secret-passage,04_game_gimmicks_ui,隠し通路,secret passage game art no people,yes
ボスの扉,boss-door,04_game_gimmicks_ui,ボスの扉,boss door icon no people,yes
スコアボード,scoreboard,04_game_gimmicks_ui,スコアボード,scoreboard game ui no people,yes
経験値,xp-bar,04_game_gimmicks_ui,経験値バー,xp bar ui no people,yes
レベルアップの音,level-up-sound,04_game_gimmicks_ui,レベルアップ 音,level up sound icon no people,yes
バグ技の裏道,glitch-route,04_game_gimmicks_ui,バグ技 裏道,glitch route game map no people,yes
魔法陣,magic-circle,04_game_gimmicks_ui,魔法陣,magic circle no people,yes
クリスタル,crystal,04_game_gimmicks_ui,クリスタル,crystal collectible no people,yes
魔法の杖,magic-wand,05_fantasy_items,魔法の杖,magic wand no people,yes
魔法の本,magic-book,05_fantasy_items,魔導書,grimoire book no people,yes
聖杯,holy-grail,05_fantasy_items,聖杯,holy grail no people,yes
エリクサー,elixir,05_fantasy_items,エリクサー,elixir potion bottle no people,yes
ドラゴンのウロコ,dragon-scale,05_fantasy_items,ドラゴンのウロコ,dragon scale no people,yes
フェニックスの羽,phoenix-feather,05_fantasy_items,フェニックスの羽,phoenix feather no people,yes
妖精の粉,fairy-dust,05_fantasy_items,妖精の粉,fairy dust no people,yes
魔石,magic-stone,05_fantasy_items,魔石,magic crystal stone no people,yes
マント,cloak,05_fantasy_items,マント,cloak isolated no people,yes
よろい,armor,05_fantasy_items,鎧,armor isolated no people,yes
たて,shield,05_fantasy_items,盾,shield isolated no people,yes
かぶと,helmet,05_fantasy_items,兜,helmet isolated no people,yes
弓矢,bow-and-arrow,05_fantasy_items,弓矢,bow and arrow isolated no people,yes
短剣,dagger,05_fantasy_items,短剣,dagger isolated no people,yes
ヤリ,spear,05_fantasy_items,槍,spear isolated no people,yes
オノ,battle-axe,05_fantasy_items,斧,battle axe isolated no people,yes
魔法のランプ,magic-lamp,05_fantasy_items,魔法のランプ,magic lamp no people,yes
ビームソード,beam-sword,05_fantasy_items,ビームソード,beam sword no people,yes
透明マント,invisibility-cloak,05_fantasy_items,透明マント,invisibility cloak no people,yes
世界樹の葉,yggdrasil-leaf,05_fantasy_items,世界樹の葉,fantasy leaf no people,yes
勇者の剣,hero-sword,05_fantasy_items,勇者の剣,hero sword no people,yes
魔法のリング,magic-ring,05_fantasy_items,魔法のリング,magic ring isolated no people,yes
天馬の羽,pegasus-feather,05_fantasy_items,天馬の羽,pegasus feather no people,yes
竜のキバ,dragon-fang,05_fantasy_items,竜のキバ,dragon fang no people,yes
幻のメダル,legendary-medal,05_fantasy_items,幻のメダル,fantasy medal no people,yes
エクスカリバー（伝説の剣）,excalibur,05_fantasy_items,エクスカリバー,excalibur sword no people,yes
賢者の石（魔法のアイテム）,philosophers-stone,05_fantasy_items,賢者の石,philosophers stone no people,yes
オリハルコン（幻の金属）,orichalcum,05_fantasy_items,オリハルコン,orichalcum fantasy metal no people,yes
タイムマシン,time-machine,06_sf_specials,タイムマシン,time machine no people,yes
ヒーローのサポートアイテム,hero-support-item,06_sf_specials,ヒーロー ガジェット,hero gadget no people,yes
空飛ぶじゅうたん,flying-carpet,06_sf_specials,空飛ぶじゅうたん,flying carpet no people,yes
